"","Tier","um2/L","ug/L (SA)","surface area (particles/L)","um3/L","ug/L (V)","volume (particles/L)"
"1","Tier1",3864.37029099459,8987.38686846608,54.6504487555621,18.9187917580148,40.0034646358519,0.243252830452562
"2","Tier2",19896.2081456016,46272.718801496,281.374873993078,140.027201389875,296.085144892199,1.80043279264955
"3","Tier3",80498.3617836351,187215.475005909,1138.41874983233,312.983780384095,661.798900814382,4.02426283020535
"4","Tier4",303720.612874318,706364.670639928,4295.25809899128,1767.32707376985,3736.98315409516,22.7238249952105
