"","names","preds","stderrors","R2","p.values"
"1","All",-2.51924849175604,0.0986052513643774,0.960279079332837,1.89313822574794e-20
"2","PS",-2.51244170239863,0.199438255672465,0.85923066373479,1.41683963777676e-12
"3","PE",-2.34402156493151,0.178601874750623,0.910170214762992,2.52704995876364e-10
"4","PET",-2.42972372108452,0.162856622199902,0.891821987509579,1.46614157174091e-14
