"","ERM","EC_env","PNEC/PEC"
"1","Particles",130.157232468694,0.027672702800555
"2","Volume",373.71443991027,0.0794553512836883
"3","Surface Area",7872.12448381452,1.67369079011393
"4","Mass",4048.00714019983,0.860645977181619
"5","Specific Surface Area",388.588847780967,0.0826177961246927
