"","Tier","Empirical","Predicted","Environmentally Realistic Polymer/Shape Predicted"
"1","Tier1",1084.33670674665,721.533295598218,12597.4844306439
"2","Tier2",3039.9310970137,1386.86137680549,16356.2529590398
"3","Tier3",5594.89044077213,2136.70262736541,58101.1849475043
"4","Tier4",19868.6757891724,5719.00676294117,116533.785400856
