"","Group","Species","Most Sensitive Concentration mg/L","Min Conc. Broad Endpoint","Min Conc. Specfic Endpoint","Min Environment","DOI","Minimum Effect Concentration","95% Lower CI Effect Concentration","1st Quartile Effect Concentration","Average Effect Concentration","Median Effect Concentration","3rd Quartile Effect Concentration","95% Upper CI Concentration","Maximum Observed Effect Concentration","Std Dev Effect Concentration","Number of doses with Effects","Min Concentration Tested (with or without effects)","Max Concentration Tested (with or without effects)","Total # Doses Considered"
"1","Fish","Acanthochromis polyacanthus","0.0743","fitness","growth","Marine","10.1371/journal.pone.0193308","0.01","0.0418","0.055","0.0743","0.1","0.1","0.107","0.1","0.0439","7","0.01","0.1","7"
"2","Crustacea","Artemia franciscana","7.5","fitness","growth","Freshwater","10.1016/j.chemosphere.2018.05.172","5","5.87","5","7.5","7.5","10","9.13","10","2.64","10","5","10","10"
"3","Fish","Barbodes gonionotus","0.028","alimentary.excretory","digestive.enzymes","Freshwater","10.1016/j.envpol.2017.11.040","0.02","0.017","0.02","0.028","0.025","0.025","0.039","0.05","0.0125","5","0.02","0.05","5"
"4","Crustacea","Ceriodaphnia dubia","0.0301","fitness","reproduction","Freshwater","10.1021/acs.est.7b03574","0.00312","0.0168","0.015","0.0301","0.025","0.05","0.0434","0.05","0.0204","9","0.003125","0.05","9"
"5","Algae","Chlamydomas reinhardtii","950","fitness","growth","Freshwater","10.1016/j.envpol.2016.05.006","500","883","1000","950","1000","1000","1020","1000","154","20","500","1000","20"
"6","Algae","Chlorella vulgaris","743","metabolism","photosynthesis","Freshwater","doi.org/10.1016/j.scitotenv.2019.04.401","400","426","400","743","800","800","1060","1600","428","7","400","1600","7"
"7","Mollusca","Corbicula fluminea","3.58","fitness","mortality","Marine","10.1371/journal.pone.0187664","2.8","3.39","3.1","3.58","3.65","4.12","3.76","4.2","0.601","40","2.8","4.2","40"
"8","Mollusca","Crassostrea gigas","0.01","alimentary.excretory","digestive.tract.histo","Marine","10.1016/j.marpolbul.2019.110627","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0","42","0.01","0.01","42"
"9","Fish","Cyprinodon variegatus","17","metabolism","oxidative.stress","Marine","10.1016/j.marpolbul.2018.02.039","2.5","12.3","8.75","17","25","25","21.7","25","9.32","15","2.5","25","15"
"10","Fish","Danio rerio","7.36","fitness","mortality","Freshwater","10.1016/j.scitotenv.2017.11.103","0.5","4.01","5.5","7.36","10","10","10.7","10","4.52","7","0.5","10","7"
"11","Crustacea","Daphnia magna","10","fitness","mortality","Freshwater","10.1016/j.chemosphere.2018.05.172","10","10","10","10","10","10","10","10","0","17","10","10","17"
"12","Algae","Dunaliella salina","112","metabolism","photosynthesis","Marine","10.1016/j.aquatox.2019.105296","25","76.6","56.2","112","100","138","148","350","85.8","22","25","350","22"
"13","Crustacea","Gammarus fossarum","40.5","metabolism","gen.metabolism","Freshwater","10.1007/s11356-016-7584-2","24.3","24.6","36.5","40.5","48.6","48.6","56.4","48.6","14","3","24.31","48.63","3"
"14","Mollusca","Mytilus edulis","105","metabolism","gen.metabolism","Marine","10.1016/j.envpol.2015.01.008","105","","105","105","105","105","","105","","1","105.2","105.2","1"
"15","Mollusca","Mytilus galloprovincialis","317000","immune","immune.cells","Marine","10.1016/j.envpol.2014.12.021","75","-152000","150","317000","150","74200","785000","14800000","1880000","62","75","14840000","62"
"16","Fish","Oryzias latipes","0.0065","fitness","reproduction","Freshwater","10.1016/j.scitotenv.2014.06.051","0.004","0.00552","0.004","0.0065","0.008","0.008","0.00748","0.008","0.002","16","0.004","0.008","16"
"17","Crustacea","Palaemonetes pugio","6.45","fitness","mortality","Marine","10.1002/etc.3881","1.91","-2.45","4.18","6.45","6.45","8.72","15.4","11","6.42","2","1.91","11","2"
"18","Fish","Pimephales promelas","2.66","fitness","growth","Freshwater","10.1002/etc.4257","2.66","","2.66","2.66","2.66","2.66","","2.66","","1","2.661","2.661","1"
"19","Mollusca","Pinctada margaritifera","2570","fitness","mortality","Marine","doi.org/10.1016/j.watres.2020.115890","5","1770","1000","2570","1000","5000","3370","5000","2170","28","5","5000","28"
"20","Algae","Seletonema costatum","2000","fitness","growth","Marine","10.1016/j.envpol.2016.11.005","2000","","2000","2000","2000","2000","","2000","","1","2000","2000","1"
