"","Group","Species","Most Sensitive Concentration mg/L","Min Conc. Broad Endpoint","Min Conc. Specfic Endpoint","Min Environment","DOI","Minimum Effect Concentration","95% Lower CI Effect Concentration","1st Quartile Effect Concentration","Average Effect Concentration","Median Effect Concentration","3rd Quartile Effect Concentration","95% Upper CI Concentration","Maximum Observed Effect Concentration","Std Dev Effect Concentration","Number of doses with Effects","Min Concentration Tested (with or without effects)","Max Concentration Tested (with or without effects)","Total # Doses Considered"
"1","Crustacea","Artemia parthenogenetica","0.055","fitness","mortality","Marine","10.1016/j.envpol.2018.10.024","0.055","0.055","0.055","0.055","0.055","0.055","0.055","0.055","0","4","0.055","0.055","4"
"2","Mollusca","Crassostrea gigas","0.195","behavioral.sense.neuro","feeding","Marine","10.1021/acs.est.5b04099","0.195","","0.195","0.195","0.195","0.195","","0.195","","1","0.195","0.195","1"
"3","Fish","Danio rerio","0.15","fitness","growth","Freshwater","10.1016/j.envpol.2017.01.047","0.05","0.0153","0.05","0.15","0.05","0.05","0.285","1","0.3","19","0.05","1","19"
"4","Crustacea","Daphnia magna","137","fitness","mortality","Freshwater","10.1038/s41598-019-47160-1","0.005","104","45.5","137","100","236","170","500","134","64","0.005","500","64"
"5","Crustacea","Gammarus pulex","207","behavioral.sense.neuro","feeding","Freshwater","10.1016/j.envpol.2017.11.014","207","207","207","207","207","207","207","207","0","10","206.7","206.7","10"
"6","Crustacea","Hyalella azteca","0.75","fitness","mortality","Freshwater","10.1002/etc.3093","0.00927","0.0465","0.0294","0.75","0.0599","0.899","1.45","3","1.19","11","0.009271","2.997","11"
"7","Mollusca","Mytilus galloprovincialis","10","fitness","mortality","Marine","10.1016/j.jhazmat.2018.07.101","10","10","10","10","10","10","10","10","0","6","10","10","6"
"8","Fish","Oryzias melastigma","0.0412","fitness","body.condition","Marine","10.1016/j.envpol.2019.113024","0.001","0.0318","0.002","0.0412","0.01","0.02","0.0506","0.2","0.0657","189","0.001","0.2","189"
