Sampling apparatus,Device Opening Dimension (cm),Min particle size um,Max particle size um,Sampling location,System,freshwater_saltwater,Single Measurement conc (#/m3),Minimum conc (#/m3),Mean conc (#/m3),Median conc (#/m3),Maximum conc (#/m3),"Standard
deviation conc (#/m3)",Probability distribution,Reference
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Handnets (mesh sizes 800 and 500 μm), manta trawl net (mesh size 333 μm), streambed sampler (mesh size 333 μm), rectangular net (mesh size 333 μm)",,800,5000,"San Gabriel River, CA, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Moore et al. (2011)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,Freshwater,2.85E-03,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,Freshwater,6.23E-03,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,Freshwater,7.68E-03,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,Freshwater,7.98E-03,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,Freshwater,1.06E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,Freshwater,1.38E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,Freshwater,1.64E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,Freshwater,2.21E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,Freshwater,2.93E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,Freshwater,2.97E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,Freshwater,3.35E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,Freshwater,3.79E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,Freshwater,4.09E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,Freshwater,4.30E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,Freshwater,5.32E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,Freshwater,5.70E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,Freshwater,5.89E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,Freshwater,6.06E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,Freshwater,6.39E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,Freshwater,7.05E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,Freshwater,7.81E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,Freshwater,7.90E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,Freshwater,8.65E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,1.10E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,Freshwater,1.27E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,1.56E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,Freshwater,1.87E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,2.20E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,2.46E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,Freshwater,2.56E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,2.76E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,2.80E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
Manta trawl: 330 μm mesh size; 0–0.3 m surface layer.,30,330,5000,"River Seine, France",River,Freshwater,2.80E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Manta trawl: 330 μm mesh size; 0–0.3 m surface layer.,30,330,5000,"River Seine, France",River,Freshwater,2.90E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,2.92E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,3.14E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,Freshwater,3.57E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,3.71E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,3.84E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Yangtze River and tributaries, China",River,Freshwater,3.85E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2015)
Manta trawl: 330 μm mesh size; 0–0.3 m surface layer.,30,330,5000,"River Seine, France",River,Freshwater,4.70E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,4.82E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,5.06E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,5.25E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,5.31E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,5.40E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,5.45E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,5.47E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,5.56E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,5.60E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,5.60E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,6.00E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,6.11E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,6.60E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,6.76E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,7.40E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,7.75E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,7.82E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, France",River,Freshwater,8.07E-01,N.A.,8.07E-01,6.20E-01,N.A.,4.23E-01,Normal: mean and SD,Mani et al. (2015)
"Manta trawl: 18.5 cm high, 300 μm mesh size.",18.5,300,5000,"Lake Bolsena, Italy",Lake,Freshwater,8.20E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Fischer et al. (2016)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,8.25E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,8.32E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, Germany",River,Freshwater,8.53E-01,N.A.,8.53E-01,8.99E-01,N.A.,2.91E-01,Normal: mean and SD,Mani et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,8.60E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,8.77E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,8.99E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,9.42E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,9.42E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,9.54E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,9.54E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,9.69E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,9.80E-01,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.03E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.03E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.04E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.05E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.06E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,1.06E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.07E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,1.09E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.20E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.21E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.23E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Manta trawl: 18.5 cm high, 300 μm mesh size.",18.5,300,5000,"Lake Bolsena, Italy",Lake,Freshwater,1.24E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Fischer et al. (2016)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.25E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,1.27E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.28E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,1.29E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, Switzerland",River,Freshwater,1.33E+00,N.A.,1.33E+00,4.03E-01,N.A.,1.70E+00,Normal: mean and SD,Mani et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,1.37E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.38E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,1.38E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,1.39E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,1.43E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,1.44E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,1.44E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.46E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.48E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, France/Germany",River,Freshwater,1.52E+00,N.A.,1.52E+00,8.26E-01,N.A.,1.23E+00,Normal: mean and SD,Mani et al. (2015)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.55E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.57E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, The Netherlands",River,Freshwater,1.59E+00,N.A.,1.59E+00,1.51E+00,N.A.,2.32E-01,Normal: mean and SD,Mani et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Yangtze River and tributaries, China",River,Freshwater,1.60E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2015)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,Freshwater,1.63E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,1.70E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,1.76E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,Freshwater,1.76E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,1.93E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,1.98E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,2.04E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,2.06E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,2.13E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,2.28E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Manta trawl: 18.5 cm high, 300 μm mesh size.",18.5,300,5000,"Lake Bolsena, Italy",Lake,Freshwater,2.42E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Fischer et al. (2016)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,2.53E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Manta trawl: 18.5 cm high, 300 μm mesh size.",18.5,300,5000,"Lake Chiusi, Italy",Lake,Freshwater,2.68E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Fischer et al. (2016)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",River,Freshwater,2.89E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,Freshwater,2.91E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
