"","dist","ad","ks","cvm","aic","aicc","bic","delta","weight"
"1","weibull",6.34801948548136,0.0723644683579489,0.819499387464762,6572.76940130229,6572.79204281172,6581.32644415062,90.48,0
"2","llogis",2.09558486491596,0.0588076545561068,0.256760803956365,6504.56490466561,6504.58754617505,6513.12194751395,22.275,0
"3","lnorm",1.32581072377297,0.0503201759689758,0.16152974343711,6482.28948738868,6482.31212889812,6490.84653023702,0,1
"4","gamma",57.5642237489303,0.22369252371571,11.1064170498172,6921.66343907161,6921.68608058105,6930.22048191995,439.374,0
"5","lgumbel",5.16824632875353,0.0759615651796717,0.768199818316323,6529.70308901893,6529.72573052836,6538.26013186726,47.414,0
